Tiempo (s)	Voltaje de entrada (V)	Corriente de salida (A)
0	10.97627008	0
0.01001001	10.97627008	0.001028282
0.02002002	10.97627008	0.003841497
0.03003003	10.97627008	0.008064764
0.04004004	10.97627008	0.013365685
0.05005005	10.97627008	0.019452636
0.06006006	10.97627008	0.026072641
0.07007007	10.97627008	0.033008958
0.08008008	10.97627008	0.040078436
0.09009009	10.97627008	0.047128733
0.1001001	10.97627008	0.054035501
0.11011011	10.97627008	0.060699553
0.12012012	10.97627008	0.067044099
0.13013013	10.97627008	0.073012072
0.14014014	10.97627008	0.078563591
0.15015015	10.97627008	0.083673555
0.16016016	10.97627008	0.088329431
0.17017017	10.97627008	0.092529186
0.18018018	10.97627008	0.096279431
0.19019019	10.97627008	0.099593725
0.2002002	10.97627008	0.102491072
0.21021021	10.97627008	0.104994587
0.22022022	10.97627008	0.107130334
0.23023023	10.97627008	0.108926314
0.24024024	10.97627008	0.110411609
0.25025025	10.97627008	0.111615656
0.26026026	10.97627008	0.112567653
0.27027027	10.97627008	0.113296069
0.28028028	10.97627008	0.11382826
0.29029029	10.97627008	0.114190181
0.3003003	10.97627008	0.114406162
0.31031031	10.97627008	0.114498766
0.32032032	10.97627008	0.114488698
0.33033033	10.97627008	0.114394769
0.34034034	10.97627008	0.114233897
0.35035035	10.97627008	0.114021144
0.36036036	10.97627008	0.113769781
0.37037037	10.97627008	0.113491371
0.38038038	10.97627008	0.113195868
0.39039039	10.97627008	0.112891732
0.4004004	10.97627008	0.112586043
0.41041041	10.97627008	0.112284625
0.42042042	10.97627008	0.11199217
0.43043043	10.97627008	0.111712353
0.44044044	10.97627008	0.111447954
0.45045045	10.97627008	0.11120097
0.46046046	10.97627008	0.11097272
0.47047047	10.97627008	0.110763943
0.48048048	10.97627008	0.110574891
0.49049049	10.97627008	0.110405414
0.500500501	10.97627008	0.110255032
0.510510511	10.97627008	0.110123008
0.520520521	10.97627008	0.110008404
0.530530531	10.97627008	0.109910139
0.540540541	10.97627008	0.109827029
0.550550551	10.97627008	0.109757831
0.560560561	10.97627008	0.109701277
0.570570571	10.97627008	0.109656097
0.580580581	10.97627008	0.109621047
0.590590591	10.97627008	0.109594924
0.600600601	10.97627008	0.109576583
0.610610611	10.97627008	0.109564945
0.620620621	10.97627008	0.109559003
0.630630631	10.97627008	0.109557833
0.640640641	10.97627008	0.109560589
0.650650651	10.97627008	0.10956651
0.660660661	10.97627008	0.109574914
0.670670671	10.97627008	0.109585198
0.680680681	10.97627008	0.109596834
0.690690691	10.97627008	0.109609367
0.700700701	10.97627008	0.109622406
0.710710711	10.97627008	0.109635623
0.720720721	10.97627008	0.109648746
0.730730731	10.97627008	0.109661554
0.740740741	10.97627008	0.109673872
0.750750751	10.97627008	0.109685566
0.760760761	10.97627008	0.109696537
0.770770771	10.97627008	0.109706717
0.780780781	10.97627008	0.109716065
0.790790791	10.97627008	0.109724563
0.800800801	10.97627008	0.10973221
0.810810811	10.97627008	0.109739022
0.820820821	10.97627008	0.109745028
0.830830831	10.97627008	0.109750265
0.840840841	10.97627008	0.109754777
0.850850851	10.97627008	0.109758614
0.860860861	10.97627008	0.109761829
0.870870871	10.97627008	0.109764477
0.880880881	10.97627008	0.109766612
0.890890891	10.97627008	0.109768288
0.900900901	10.97627008	0.109769559
0.910910911	10.97627008	0.109770476
0.920920921	10.97627008	0.109771085
0.930930931	10.97627008	0.109771432
0.940940941	10.97627008	0.109771557
0.950950951	10.97627008	0.109771499
0.960960961	10.97627008	0.109771292
0.970970971	10.97627008	0.109770967
0.980980981	10.97627008	0.109770551
0.990990991	10.97627008	0.109770068
1.001001001	10.97627008	0.109769539
1.011011011	10.97627008	0.109768982
1.021021021	10.97627008	0.109768412
1.031031031	10.97627008	0.109767842
1.041041041	10.97627008	0.109767282
1.051051051	10.97627008	0.109766741
1.061061061	10.97627008	0.109766226
1.071071071	10.97627008	0.10976574
1.081081081	10.97627008	0.109765288
1.091091091	10.97627008	0.109764872
1.101101101	10.97627008	0.109764492
1.111111111	10.97627008	0.109764148
1.121121121	10.97627008	0.10976384
1.131131131	10.97627008	0.109763567
1.141141141	10.97627008	0.109763327
1.151151151	10.97627008	0.10976312
1.161161161	10.97627008	0.109762942
1.171171171	10.97627008	0.109762793
1.181181181	10.97627008	0.109762668
1.191191191	10.97627008	0.109762567
1.201201201	10.97627008	0.109762487
1.211211211	10.97627008	0.109762425
1.221221221	10.97627008	0.10976238
1.231231231	10.97627008	0.109762348
1.241241241	10.97627008	0.109762329
1.251251251	10.97627008	0.109762319
1.261261261	10.97627008	0.109762319
1.271271271	10.97627008	0.109762325
1.281281281	10.97627008	0.109762337
1.291291291	10.97627008	0.109762353
1.301301301	10.97627008	0.109762373
1.311311311	10.97627008	0.109762395
1.321321321	10.97627008	0.109762418
1.331331331	10.97627008	0.109762443
1.341341341	10.97627008	0.109762468
1.351351351	10.97627008	0.109762492
1.361361361	10.97627008	0.109762516
1.371371371	10.97627008	0.109762539
1.381381381	10.97627008	0.109762561
1.391391391	10.97627008	0.109762581
1.401401401	10.97627008	0.1097626
1.411411411	10.97627008	0.109762617
1.421421421	10.97627008	0.109762633
1.431431431	10.97627008	0.109762647
1.441441441	10.97627008	0.109762659
1.451451451	10.97627008	0.10976267
1.461461461	10.97627008	0.109762679
1.471471471	10.97627008	0.109762688
1.481481481	10.97627008	0.109762695
1.491491491	10.97627008	0.109762701
1.501501502	10.97627008	0.109762705
1.511511512	10.97627008	0.109762709
1.521521522	10.97627008	0.109762712
1.531531532	10.97627008	0.109762714
1.541541542	10.97627008	0.109762716
1.551551552	10.97627008	0.109762717
1.561561562	10.97627008	0.109762718
