Time (sec), Heater 1 (%), Temperature 1 (degC)
0.000000000000000000e+00,4.293099987199923140e-01,0.000000000000000000e+00
1.001001000000000061e-03,4.293099987199923140e-01,7.117353677974371830e-03
2.002002000000000122e-03,4.293099987199923140e-01,2.658929437827125056e-02
3.003002999999999749e-03,4.293099987199923140e-01,5.582104686982297670e-02
4.004004000000000243e-03,4.293099987199923140e-01,9.251188612987186477e-02
5.005004999999999871e-03,4.293099987199923140e-01,1.346433083345781323e-01
6.006005999999999498e-03,4.293099987199923140e-01,1.804643155436499169e-01
7.007006999999999992e-03,4.293099987199923140e-01,2.284747069650169549e-01
8.008008000000000487e-03,4.293099987199923140e-01,2.774067851737757606e-01
9.009009000000000114e-03,4.293099987199923140e-01,3.262061002291415934e-01
1.001000999999999974e-02,4.293099987199923140e-01,3.740119653786975196e-01
1.101101099999999937e-02,4.293099987199923140e-01,4.201378481738962112e-01
1.201201199999999900e-02,4.293099987199923140e-01,4.640522391757590515e-01
1.301301300000000036e-02,4.293099987199923140e-01,5.053601436043124728e-01
1.401401399999999998e-02,4.293099987199923140e-01,5.437855212468216681e-01
1.501501500000000135e-02,4.293099987199923140e-01,5.791546330952412891e-01
1.601601600000000097e-02,4.293099987199923140e-01,6.113807307734974161e-01
1.701701700000000234e-02,4.293099987199923140e-01,6.404497426747475242e-01
1.801801800000000023e-02,4.293099987199923140e-01,6.664074274772190387e-01
1.901901900000000159e-02,4.293099987199923140e-01,6.893476351155792825e-01
2.002001999999999948e-02,4.293099987199923140e-01,7.094019036205401196e-01
2.102102100000000084e-02,4.293099987199923140e-01,7.267302257083662065e-01
2.202202199999999874e-02,4.293099987199923140e-01,7.415130058850810668e-01
2.302302300000000010e-02,4.293099987199923140e-01,7.539440557902319373e-01
2.402402399999999799e-02,4.293099987199923140e-01,7.642246693097984878e-01
2.502502499999999935e-02,4.293099987199923140e-01,7.725585974967199565e-01
2.602602600000000072e-02,4.293099987199923140e-01,7.791479371422361799e-01
2.702702699999999861e-02,4.293099987199923140e-01,7.841897391933226880e-01
2.802802799999999997e-02,4.293099987199923140e-01,7.878733508594170099e-01
2.902902900000000133e-02,4.293099987199923140e-01,7.903784221924620157e-01
3.003003000000000269e-02,4.293099987199923140e-01,7.918733556491622805e-01
3.103103099999999712e-02,4.293099987199923140e-01,7.925143232242001234e-01
3.203203200000000195e-02,4.293099987199923140e-01,7.924446365849029394e-01
