Time (sec), Heater 1 (%), Temperature 1 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.411764705882352922e-01
6.000000000000000000e+00,1.000000000000000000e+00,2.657439446366781644e-01
7.000000000000000000e+00,1.000000000000000000e+00,3.756564217382454829e-01
8.000000000000000000e+00,1.000000000000000000e+00,4.726380191808047804e-01
9.000000000000000000e+00,1.000000000000000000e+00,5.582100169242394383e-01
1.000000000000000000e+01,1.000000000000000000e+00,6.337147208155053946e-01
1.100000000000000000e+01,1.000000000000000000e+00,7.003365183666223626e-01
1.200000000000000000e+01,1.000000000000000000e+00,7.591204573823138180e-01
1.300000000000000000e+01,1.000000000000000000e+00,8.109886388667474355e-01
1.400000000000000000e+01,1.000000000000000000e+00,8.567546813530124705e-01
1.500000000000000000e+01,1.000000000000000000e+00,8.971364835467756649e-01
1.600000000000000000e+01,1.000000000000000000e+00,9.327674854824490325e-01
1.700000000000000000e+01,1.000000000000000000e+00,9.642066048374549059e-01
1.800000000000000000e+01,1.000000000000000000e+00,9.919470042683424804e-01
1.900000000000000000e+01,1.000000000000000000e+00,1.016423827295596105e+00
2.000000000000000000e+01,1.000000000000000000e+00,1.038021024084349486e+00
2.100000000000000000e+01,1.000000000000000000e+00,1.057077374192072927e+00
2.200000000000000000e+01,1.000000000000000000e+00,1.073891800757711401e+00
2.300000000000000000e+01,1.000000000000000000e+00,1.088728059492098277e+00
2.400000000000000000e+01,1.000000000000000000e+00,1.101818876022439664e+00
2.500000000000000000e+01,1.000000000000000000e+00,1.113369596490387803e+00
2.600000000000000000e+01,1.000000000000000000e+00,1.123561408667989037e+00
2.700000000000000000e+01,1.000000000000000000e+00,1.132554184118813811e+00
2.800000000000000000e+01,1.000000000000000000e+00,1.140488985987188508e+00
2.900000000000000000e+01,1.000000000000000000e+00,1.147490281753401620e+00
3.000000000000000000e+01,1.000000000000000000e+00,1.153667895664766130e+00
3.100000000000000000e+01,1.000000000000000000e+00,1.159118731468911090e+00
3.200000000000000000e+01,1.000000000000000000e+00,1.163928292472568460e+00
3.300000000000000000e+01,1.000000000000000000e+00,1.168172022769913276e+00
3.400000000000000000e+01,1.000000000000000000e+00,1.171916490679335121e+00
3.500000000000000000e+01,1.000000000000000000e+00,1.175220432952354344e+00
3.600000000000000000e+01,1.000000000000000000e+00,1.178135676134430154e+00
3.700000000000000000e+01,1.000000000000000000e+00,1.180707949530379386e+00
3.800000000000000000e+01,1.000000000000000000e+00,1.182977602526805283e+00
3.900000000000000000e+01,1.000000000000000000e+00,1.184980237523651558e+00
4.000000000000000000e+01,1.000000000000000000e+00,1.186747268403221867e+00
4.100000000000000000e+01,1.000000000000000000e+00,1.188306413296960296e+00
4.200000000000000000e+01,1.000000000000000000e+00,1.189682129379670661e+00
4.300000000000000000e+01,1.000000000000000000e+00,1.190895996511474042e+00
4.400000000000000000e+01,1.000000000000000000e+00,1.191967055745418058e+00
4.500000000000000000e+01,1.000000000000000000e+00,1.192912108010662831e+00
4.600000000000000000e+01,1.000000000000000000e+00,1.193745977656467172e+00
4.700000000000000000e+01,1.000000000000000000e+00,1.194481744991000349e+00
4.800000000000000000e+01,1.000000000000000000e+00,1.195130951462647362e+00
4.900000000000000000e+01,1.000000000000000000e+00,1.195703780702335850e+00
5.000000000000000000e+01,1.000000000000000000e+00,1.196209218266766738e+00
5.100000000000000000e+01,1.000000000000000000e+00,1.196655192588323535e+00
5.200000000000000000e+01,1.000000000000000000e+00,1.197048699342638356e+00
5.300000000000000000e+01,1.000000000000000000e+00,1.197395911184680806e+00
5.400000000000000000e+01,1.000000000000000000e+00,1.197702274574718340e+00
5.500000000000000000e+01,1.000000000000000000e+00,1.197972595212986713e+00
5.600000000000000000e+01,1.000000000000000000e+00,1.198211113423223395e+00
5.700000000000000000e+01,1.000000000000000000e+00,1.198421570667549840e+00
5.800000000000000000e+01,1.000000000000000000e+00,1.198607268236073331e+00
5.900000000000000000e+01,1.000000000000000000e+00,1.198771119031829313e+00
6.000000000000000000e+01,1.000000000000000000e+00,1.198915693263378657e+00
6.100000000000000000e+01,1.000000000000000000e+00,1.199043258761804509e+00
6.200000000000000000e+01,1.000000000000000000e+00,1.199155816554533294e+00
6.300000000000000000e+01,1.000000000000000000e+00,1.199255132253999934e+00
6.400000000000000000e+01,1.000000000000000000e+00,1.199342763753529217e+00
6.500000000000000000e+01,1.000000000000000000e+00,1.199420085664878677e+00
6.600000000000000000e+01,1.000000000000000000e+00,1.199488310880775233e+00
6.700000000000000000e+01,1.000000000000000000e+00,1.199548509600683932e+00
6.800000000000000000e+01,1.000000000000000000e+00,1.199601626118250497e+00
6.900000000000000000e+01,1.000000000000000000e+00,1.199648493633750368e+00
7.000000000000000000e+01,1.000000000000000000e+00,1.199689847323897274e+00
7.100000000000000000e+01,1.000000000000000000e+00,1.199726335874026883e+00
7.200000000000000000e+01,1.000000000000000000e+00,1.199758531653553062e+00
7.300000000000000000e+01,1.000000000000000000e+00,1.199786939694311494e+00
7.400000000000000000e+01,1.000000000000000000e+00,1.199812005612627575e+00
7.500000000000000000e+01,1.000000000000000000e+00,1.199834122599377162e+00
7.600000000000000000e+01,1.000000000000000000e+00,1.199853637587685595e+00
7.700000000000000000e+01,1.000000000000000000e+00,1.199870856695016696e+00
7.800000000000000000e+01,1.000000000000000000e+00,1.199886050025014583e+00
7.900000000000000000e+01,1.000000000000000000e+00,1.199899455904424483e+00
8.000000000000000000e+01,1.000000000000000000e+00,1.199911284621550944e+00
8.100000000000000000e+01,1.000000000000000000e+00,1.199921721724897861e+00
8.200000000000000000e+01,1.000000000000000000e+00,1.199930930933733375e+00
8.300000000000000000e+01,1.000000000000000000e+00,1.199939056706235130e+00
8.400000000000000000e+01,1.000000000000000000e+00,1.199946226505501423e+00
8.500000000000000000e+01,1.000000000000000000e+00,1.199952552798971839e+00
8.600000000000000000e+01,1.000000000000000000e+00,1.199958134822622036e+00
8.700000000000000000e+01,1.000000000000000000e+00,1.199963060137607673e+00
8.800000000000000000e+01,1.000000000000000000e+00,1.199967406003771275e+00
8.900000000000000000e+01,1.000000000000000000e+00,1.199971240591562793e+00
9.000000000000000000e+01,1.000000000000000000e+00,1.199974624051378891e+00
9.100000000000000000e+01,1.000000000000000000e+00,1.199977609457098859e+00
9.200000000000000000e+01,1.000000000000000000e+00,1.199980243638616439e+00
9.300000000000000000e+01,1.000000000000000000e+00,1.199982567916426213e+00
9.400000000000000000e+01,1.000000000000000000e+00,1.199984618749787790e+00
9.500000000000000000e+01,1.000000000000000000e+00,1.199986428308636111e+00
9.600000000000000000e+01,1.000000000000000000e+00,1.199988024978208223e+00
9.700000000000000000e+01,1.000000000000000000e+00,1.199989433804301342e+00
9.800000000000000000e+01,1.000000000000000000e+00,1.199990676886148133e+00
9.900000000000000000e+01,1.000000000000000000e+00,1.199991773723071864e+00
1.000000000000000000e+02,2.000000000000000000e+00,1.341169212108592745e+00
1.010000000000000000e+02,2.000000000000000000e+00,1.465737540095817248e+00
1.020000000000000000e+02,2.000000000000000000e+00,1.575650770672780032e+00
1.030000000000000000e+02,2.000000000000000000e+00,1.672633032946570619e+00
1.040000000000000000e+02,2.000000000000000000e+00,1.758205617305797608e+00
1.050000000000000000e+02,2.000000000000000000e+00,1.833710838799233134e+00
1.060000000000000000e+02,2.000000000000000000e+00,1.900333093058146794e+00
1.070000000000000000e+02,2.000000000000000000e+00,1.959117435051305867e+00
1.080000000000000000e+02,2.000000000000000000e+00,2.010985972104093467e+00
1.090000000000000000e+02,2.000000000000000000e+00,2.056752328327140944e+00
1.100000000000000000e+02,2.000000000000000000e+00,2.097134407347477136e+00
1.110000000000000000e+02,2.000000000000000000e+00,2.132765653541891293e+00
1.120000000000000000e+02,2.000000000000000000e+00,2.164204988419315523e+00
1.130000000000000000e+02,2.000000000000000000e+00,2.191945578017042706e+00
1.140000000000000000e+02,2.000000000000000000e+00,2.216422568838567031e+00
1.150000000000000000e+02,2.000000000000000000e+00,2.238019913681088546e+00
1.160000000000000000e+02,2.000000000000000000e+00,2.257076394424489596e+00
1.170000000000000000e+02,2.000000000000000000e+00,2.273890936256902418e+00
1.180000000000000000e+02,2.000000000000000000e+00,2.288727296697266489e+00
1.190000000000000000e+02,2.000000000000000000e+00,2.301818202968175964e+00
1.200000000000000000e+02,2.000000000000000000e+00,2.313369002618978598e+00
1.210000000000000000e+02,2.000000000000000000e+00,2.323560884663804504e+00
1.220000000000000000e+02,2.000000000000000000e+00,2.332553721762180121e+00
1.230000000000000000e+02,2.000000000000000000e+00,2.340488578025452959e+00
1.240000000000000000e+02,2.000000000000000000e+00,2.347489921787164313e+00
1.250000000000000000e+02,2.000000000000000000e+00,2.353667578047497599e+00
1.260000000000000000e+02,2.000000000000000000e+00,2.359118451218380041e+00
1.270000000000000000e+02,2.000000000000000000e+00,2.363928045192687843e+00
1.280000000000000000e+02,2.000000000000000000e+00,2.368171804581783224e+00
1.290000000000000000e+02,2.000000000000000000e+00,2.371916298160396952e+00
1.300000000000000000e+02,2.000000000000000000e+00,2.375220263082702843e+00
1.310000000000000000e+02,2.000000000000000000e+00,2.378135526249443465e+00
1.320000000000000000e+02,2.000000000000000000e+00,2.380707817278920668e+00
1.330000000000000000e+02,2.000000000000000000e+00,2.382977485834341547e+00
1.340000000000000000e+02,2.000000000000000000e+00,2.384980134559712805e+00
1.350000000000000000e+02,2.000000000000000000e+00,2.386747177552687393e+00
1.360000000000000000e+02,2.000000000000000000e+00,2.388306333134723847e+00
1.370000000000000000e+02,2.000000000000000000e+00,2.389682058648285423e+00
1.380000000000000000e+02,2.000000000000000000e+00,2.390895934101428200e+00
1.390000000000000000e+02,2.000000000000000000e+00,2.391967000677730493e+00
1.400000000000000000e+02,2.000000000000000000e+00,2.392912059421526738e+00
1.410000000000000000e+02,2.000000000000000000e+00,2.393745934783699791e+00
1.420000000000000000e+02,2.000000000000000000e+00,2.394481707162087858e+00
1.430000000000000000e+02,2.000000000000000000e+00,2.395130918084194871e+00
1.440000000000000000e+02,2.000000000000000000e+00,2.395703751250759961e+00
1.450000000000000000e+02,2.000000000000000000e+00,2.396209192280081890e+00
1.460000000000000000e+02,2.000000000000000000e+00,2.396655169658895357e+00
1.470000000000000000e+02,2.000000000000000000e+00,2.397048679110789671e+00
1.480000000000000000e+02,2.000000000000000000e+00,2.397395893333049699e+00
1.490000000000000000e+02,2.000000000000000000e+00,2.397702258823279031e+00
1.500000000000000000e+02,2.000000000000000000e+00,2.397972581314657958e+00
1.510000000000000000e+02,2.000000000000000000e+00,2.398211101159992253e+00
1.520000000000000000e+02,2.000000000000000000e+00,2.398421559847051743e+00
1.530000000000000000e+02,2.000000000000000000e+00,2.398607258688574717e+00
1.540000000000000000e+02,2.000000000000000000e+00,2.398771110607565760e+00
1.550000000000000000e+02,2.000000000000000000e+00,2.398915685830204758e+00
1.560000000000000000e+02,2.000000000000000000e+00,2.399043252203121757e+00
1.570000000000000000e+02,2.000000000000000000e+00,2.399155810767460206e+00
1.580000000000000000e+02,2.000000000000000000e+00,2.399255127147758682e+00
1.590000000000000000e+02,2.000000000000000000e+00,2.399342759248022094e+00
1.600000000000000000e+02,2.000000000000000000e+00,2.399420081689430884e+00
1.610000000000000000e+02,2.000000000000000000e+00,2.399488307373026874e+00
1.620000000000000000e+02,2.000000000000000000e+00,2.399548506505611911e+00
1.630000000000000000e+02,2.000000000000000000e+00,2.399601623387304539e+00
1.640000000000000000e+02,2.000000000000000000e+00,2.399648491224092073e+00
1.650000000000000000e+02,2.000000000000000000e+00,2.399689845197728211e+00
1.660000000000000000e+02,2.000000000000000000e+00,2.399726333997995287e+00
1.670000000000000000e+02,2.000000000000000000e+00,2.399758529998230916e+00
1.680000000000000000e+02,2.000000000000000000e+00,2.399786938233733125e+00
1.690000000000000000e+02,2.000000000000000000e+00,2.399812004323881975e+00
1.700000000000000000e+02,2.000000000000000000e+00,2.399834121462248504e+00
1.710000000000000000e+02,2.000000000000000000e+00,2.399853636584336591e+00
1.720000000000000000e+02,2.000000000000000000e+00,2.399870855809708381e+00
1.730000000000000000e+02,2.000000000000000000e+00,2.399886049243860064e+00
1.740000000000000000e+02,2.000000000000000000e+00,2.399899455215170452e+00
1.750000000000000000e+02,2.000000000000000000e+00,2.399911284013385604e+00
1.760000000000000000e+02,2.000000000000000000e+00,2.399921721188281065e+00
1.770000000000000000e+02,2.000000000000000000e+00,2.399930930460247858e+00
1.780000000000000000e+02,2.000000000000000000e+00,2.399939056288453720e+00
1.790000000000000000e+02,2.000000000000000000e+00,2.399946226136870919e+00
1.800000000000000000e+02,2.000000000000000000e+00,2.399952552473709311e+00
1.810000000000000000e+02,2.000000000000000000e+00,2.399958134535625565e+00
1.820000000000000000e+02,2.000000000000000000e+00,2.399963059884375305e+00
1.830000000000000000e+02,2.000000000000000000e+00,2.399967405780330854e+00
1.840000000000000000e+02,2.000000000000000000e+00,2.399971240394409566e+00
1.850000000000000000e+02,2.000000000000000000e+00,2.399974623877419777e+00
1.860000000000000000e+02,2.000000000000000000e+00,2.399977609303605597e+00
1.870000000000000000e+02,2.000000000000000000e+00,2.399980243503181399e+00
1.880000000000000000e+02,2.000000000000000000e+00,2.399982567796924648e+00
1.890000000000000000e+02,2.000000000000000000e+00,2.399984618644344980e+00
