Time (sec), Heater 1 (%), Temperature 1 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.347826086956521900e-04,0.000000000000000000e+00,0.000000000000000000e+00
8.695652173913043801e-04,2.000000000000000111e-01,2.352941440413615012e-02
1.304347826086956624e-03,2.000000000000000111e-01,4.429066240778568864e-02
1.739130434782608760e-03,2.000000000000000111e-01,6.260941064630000386e-02
2.173913043478260896e-03,2.000000000000000111e-01,7.877301203322438494e-02
2.608695652173913249e-03,2.000000000000000111e-01,9.303501325698118607e-02
3.043478260869565168e-03,2.000000000000000111e-01,1.056191319838254289e-01
3.478260869565217520e-03,2.000000000000000111e-01,1.167227661545703482e-01
3.913043478260869873e-03,2.000000000000000111e-01,1.265200904228746814e-01
4.347826086956521792e-03,2.000000000000000111e-01,1.351647883066726397e-01
4.782608695652173711e-03,2.000000000000000111e-01,1.427924629100237597e-01
5.217391304347826497e-03,2.000000000000000111e-01,1.495227640306276973e-01
5.652173913043478416e-03,2.000000000000000111e-01,1.554612650193958889e-01
6.086956521739130335e-03,2.000000000000000111e-01,1.607011188330148554e-01
6.521739130434782254e-03,2.000000000000000111e-01,1.653245192567963096e-01
6.956521739130435041e-03,2.000000000000000111e-01,1.694039902189563851e-01
7.391304347826086960e-03,2.000000000000000111e-01,1.730035234208623651e-01
7.826086956521739746e-03,2.000000000000000111e-01,1.761795821284264374e-01
8.260869565217390798e-03,2.000000000000000111e-01,1.789819868703947936e-01
8.695652173913043584e-03,2.000000000000000111e-01,1.814546969368374396e-01
9.130434782608696370e-03,2.000000000000000111e-01,1.836364999366397743e-01
9.565217391304347422e-03,2.000000000000000111e-01,1.855616202305829798e-01
1.000000000000000021e-02,2.000000000000000111e-01,1.872602557840622739e-01
1.043478260869565299e-02,2.000000000000000111e-01,1.887590518606616918e-01
1.086956521739130405e-02,2.000000000000000111e-01,1.900815189870729005e-01
1.130434782608695683e-02,2.000000000000000111e-01,1.912484017456710650e-01
1.173913043478260788e-02,2.000000000000000111e-01,1.922780041797282624e-01
1.217391304347826067e-02,2.000000000000000111e-01,1.931864769156610706e-01
1.260869565217391346e-02,2.000000000000000111e-01,1.939880705061899913e-01
1.304347826086956451e-02,2.000000000000000111e-01,1.946953589684214392e-01
1.347826086956521729e-02,2.000000000000000111e-01,1.953194370233315158e-01
1.391304347826087008e-02,2.000000000000000111e-01,1.958700941306051047e-01
1.434782608695652113e-02,2.000000000000000111e-01,1.963559680487876880e-01
1.478260869565217392e-02,2.000000000000000111e-01,1.967846803295370262e-01
1.521739130434782671e-02,2.000000000000000111e-01,1.971629558713746955e-01
