U-1, U-2, Y-3, Y-2, Yk
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.345758e-04
0.000000e+00,0.000000e+00,0.000000e+00,3.345758e-04,3.374293e-04
0.000000e+00,6.000000e-01,3.345758e-04,3.374293e-04,1.781799e-01
6.000000e-01,6.000000e-01,3.374293e-04,1.781799e-01,1.436474e-01
6.000000e-01,6.000000e-01,1.781799e-01,1.436474e-01,2.727012e-01
6.000000e-01,6.000000e-01,1.436474e-01,2.727012e-01,2.445493e-01
6.000000e-01,6.000000e-01,2.727012e-01,2.445493e-01,3.460935e-01
6.000000e-01,6.000000e-01,2.445493e-01,3.460935e-01,3.231727e-01
6.000000e-01,6.000000e-01,3.460935e-01,3.231727e-01,4.030776e-01
6.000000e-01,6.000000e-01,3.231727e-01,4.030776e-01,3.844383e-01
6.000000e-01,6.000000e-01,4.030776e-01,3.844383e-01,4.473201e-01
6.000000e-01,6.000000e-01,3.844383e-01,4.473201e-01,4.321794e-01
6.000000e-01,6.000000e-01,4.473201e-01,4.321794e-01,4.816686e-01
6.000000e-01,6.000000e-01,4.321794e-01,4.816686e-01,4.693827e-01
6.000000e-01,6.000000e-01,4.816686e-01,4.693827e-01,5.083346e-01
6.000000e-01,6.000000e-01,4.693827e-01,5.083346e-01,4.983750e-01
6.000000e-01,6.000000e-01,5.083346e-01,4.983750e-01,5.290355e-01
6.000000e-01,6.000000e-01,4.983750e-01,5.290355e-01,5.209690e-01
6.000000e-01,6.000000e-01,5.290355e-01,5.209690e-01,5.451049e-01
6.000000e-01,6.000000e-01,5.209690e-01,5.451049e-01,5.385774e-01
6.000000e-01,6.000000e-01,5.451049e-01,5.385774e-01,5.575786e-01
6.000000e-01,6.000000e-01,5.385774e-01,5.575786e-01,5.523007e-01
6.000000e-01,6.000000e-01,5.575786e-01,5.523007e-01,5.672607e-01
6.000000e-01,6.000000e-01,5.523007e-01,5.672607e-01,5.629964e-01
6.000000e-01,6.000000e-01,5.672607e-01,5.629964e-01,5.747755e-01
6.000000e-01,6.000000e-01,5.629964e-01,5.747755e-01,5.713327e-01
6.000000e-01,6.000000e-01,5.747755e-01,5.713327e-01,5.806080e-01
6.000000e-01,6.000000e-01,5.713327e-01,5.806080e-01,5.778303e-01
6.000000e-01,6.000000e-01,5.806080e-01,5.778303e-01,5.851345e-01
6.000000e-01,6.000000e-01,5.778303e-01,5.851345e-01,5.828948e-01
6.000000e-01,6.000000e-01,5.851345e-01,5.828948e-01,5.886473e-01
6.000000e-01,6.000000e-01,5.828948e-01,5.886473e-01,5.868425e-01
6.000000e-01,6.000000e-01,5.886473e-01,5.868425e-01,5.913733e-01
6.000000e-01,6.000000e-01,5.868425e-01,5.913733e-01,5.899198e-01
6.000000e-01,6.000000e-01,5.913733e-01,5.899198e-01,5.934886e-01
6.000000e-01,6.000000e-01,5.899198e-01,5.934886e-01,5.923187e-01
6.000000e-01,6.000000e-01,5.934886e-01,5.923187e-01,5.951298e-01
6.000000e-01,6.000000e-01,5.923187e-01,5.951298e-01,5.941887e-01
6.000000e-01,6.000000e-01,5.951298e-01,5.941887e-01,5.964033e-01
6.000000e-01,6.000000e-01,5.941887e-01,5.964033e-01,5.956465e-01
6.000000e-01,6.000000e-01,5.964033e-01,5.956465e-01,5.973912e-01
6.000000e-01,6.000000e-01,5.956465e-01,5.973912e-01,5.967830e-01
6.000000e-01,6.000000e-01,5.973912e-01,5.967830e-01,5.981577e-01
6.000000e-01,6.000000e-01,5.967830e-01,5.981577e-01,5.976691e-01
6.000000e-01,6.000000e-01,5.981577e-01,5.976691e-01,5.987523e-01
6.000000e-01,6.000000e-01,5.976691e-01,5.987523e-01,5.983599e-01
6.000000e-01,6.000000e-01,5.987523e-01,5.983599e-01,5.992135e-01
6.000000e-01,6.000000e-01,5.983599e-01,5.992135e-01,5.988985e-01
6.000000e-01,6.000000e-01,5.992135e-01,5.988985e-01,5.995712e-01
6.000000e-01,6.000000e-01,5.988985e-01,5.995712e-01,5.993186e-01
6.000000e-01,6.000000e-01,5.995712e-01,5.993186e-01,5.998487e-01
6.000000e-01,6.000000e-01,5.993186e-01,5.998487e-01,5.996461e-01
6.000000e-01,6.000000e-01,5.998487e-01,5.996461e-01,6.000639e-01
6.000000e-01,6.000000e-01,5.996461e-01,6.000639e-01,5.999015e-01
6.000000e-01,6.000000e-01,6.000639e-01,5.999015e-01,6.002308e-01
6.000000e-01,6.000000e-01,5.999015e-01,6.002308e-01,6.001006e-01
6.000000e-01,6.000000e-01,6.002308e-01,6.001006e-01,6.003603e-01
6.000000e-01,6.000000e-01,6.001006e-01,6.003603e-01,6.002558e-01
6.000000e-01,6.000000e-01,6.003603e-01,6.002558e-01,6.004606e-01
6.000000e-01,6.000000e-01,6.002558e-01,6.004606e-01,6.003770e-01
6.000000e-01,6.000000e-01,6.004606e-01,6.003770e-01,6.005384e-01
6.000000e-01,6.000000e-01,6.003770e-01,6.005384e-01,6.004714e-01
6.000000e-01,6.000000e-01,6.005384e-01,6.004714e-01,6.005987e-01
6.000000e-01,6.000000e-01,6.004714e-01,6.005987e-01,6.005450e-01
6.000000e-01,6.000000e-01,6.005987e-01,6.005450e-01,6.006455e-01
6.000000e-01,6.000000e-01,6.005450e-01,6.006455e-01,6.006025e-01
6.000000e-01,6.000000e-01,6.006455e-01,6.006025e-01,6.006817e-01
6.000000e-01,6.000000e-01,6.006025e-01,6.006817e-01,6.006473e-01
6.000000e-01,6.000000e-01,6.006817e-01,6.006473e-01,6.007098e-01
6.000000e-01,6.000000e-01,6.006473e-01,6.007098e-01,6.006823e-01
6.000000e-01,6.000000e-01,6.007098e-01,6.006823e-01,6.007316e-01
6.000000e-01,6.000000e-01,6.006823e-01,6.007316e-01,6.007096e-01
6.000000e-01,6.000000e-01,6.007316e-01,6.007096e-01,6.007485e-01
6.000000e-01,6.000000e-01,6.007096e-01,6.007485e-01,6.007308e-01
6.000000e-01,6.000000e-01,6.007485e-01,6.007308e-01,6.007615e-01
6.000000e-01,6.000000e-01,6.007308e-01,6.007615e-01,6.007475e-01
6.000000e-01,6.000000e-01,6.007615e-01,6.007475e-01,6.007716e-01
6.000000e-01,6.000000e-01,6.007475e-01,6.007716e-01,6.007603e-01
6.000000e-01,6.000000e-01,6.007716e-01,6.007603e-01,6.007795e-01
6.000000e-01,6.000000e-01,6.007603e-01,6.007795e-01,6.007705e-01
6.000000e-01,6.000000e-01,6.007795e-01,6.007705e-01,6.007856e-01
6.000000e-01,6.000000e-01,6.007705e-01,6.007856e-01,6.007783e-01
6.000000e-01,6.000000e-01,6.007856e-01,6.007783e-01,6.007903e-01
6.000000e-01,6.000000e-01,6.007783e-01,6.007903e-01,6.007845e-01
6.000000e-01,6.000000e-01,6.007903e-01,6.007845e-01,6.007940e-01
6.000000e-01,6.000000e-01,6.007845e-01,6.007940e-01,6.007893e-01
6.000000e-01,6.000000e-01,6.007940e-01,6.007893e-01,6.007968e-01
6.000000e-01,6.000000e-01,6.007893e-01,6.007968e-01,6.007931e-01
6.000000e-01,6.000000e-01,6.007968e-01,6.007931e-01,6.007990e-01
6.000000e-01,6.000000e-01,6.007931e-01,6.007990e-01,6.007960e-01
6.000000e-01,6.000000e-01,6.007990e-01,6.007960e-01,6.008006e-01
6.000000e-01,6.000000e-01,6.007960e-01,6.008006e-01,6.007982e-01
6.000000e-01,6.000000e-01,6.008006e-01,6.007982e-01,6.008019e-01
6.000000e-01,6.000000e-01,6.007982e-01,6.008019e-01,6.008000e-01
6.000000e-01,6.000000e-01,6.008019e-01,6.008000e-01,6.008029e-01
6.000000e-01,6.000000e-01,6.008000e-01,6.008029e-01,6.008014e-01
6.000000e-01,6.000000e-01,6.008029e-01,6.008014e-01,6.008037e-01
6.000000e-01,6.000000e-01,6.008014e-01,6.008037e-01,6.008025e-01
6.000000e-01,6.000000e-01,6.008037e-01,6.008025e-01,6.008042e-01
6.000000e-01,6.000000e-01,6.008025e-01,6.008042e-01,6.008034e-01
6.000000e-01,2.000000e-01,6.008042e-01,6.008034e-01,5.119609e-01
2.000000e-01,2.000000e-01,6.008034e-01,5.119609e-01,5.124270e-01
2.000000e-01,2.000000e-01,5.119609e-01,5.124270e-01,4.426750e-01
2.000000e-01,2.000000e-01,5.124270e-01,4.426750e-01,4.436037e-01
2.000000e-01,2.000000e-01,4.426750e-01,4.436037e-01,3.888357e-01
2.000000e-01,2.000000e-01,4.436037e-01,3.888357e-01,3.900067e-01
2.000000e-01,2.000000e-01,3.888357e-01,3.900067e-01,3.470002e-01
2.000000e-01,2.000000e-01,3.900067e-01,3.470002e-01,3.482665e-01
2.000000e-01,2.000000e-01,3.470002e-01,3.482665e-01,3.144929e-01
2.000000e-01,2.000000e-01,3.482665e-01,3.144929e-01,3.157596e-01
2.000000e-01,2.000000e-01,3.144929e-01,3.157596e-01,2.892345e-01
2.000000e-01,2.000000e-01,3.157596e-01,2.892345e-01,2.904430e-01
2.000000e-01,2.000000e-01,2.892345e-01,2.904430e-01,2.696091e-01
2.000000e-01,2.000000e-01,2.904430e-01,2.696091e-01,2.707260e-01
2.000000e-01,2.000000e-01,2.696091e-01,2.707260e-01,2.543607e-01
2.000000e-01,2.000000e-01,2.707260e-01,2.543607e-01,2.553696e-01
2.000000e-01,2.000000e-01,2.543607e-01,2.553696e-01,2.425135e-01
2.000000e-01,2.000000e-01,2.553696e-01,2.425135e-01,2.434093e-01
2.000000e-01,2.000000e-01,2.425135e-01,2.434093e-01,2.333090e-01
2.000000e-01,2.000000e-01,2.434093e-01,2.333090e-01,2.340938e-01
2.000000e-01,2.000000e-01,2.333090e-01,2.340938e-01,2.261580e-01
2.000000e-01,2.000000e-01,2.340938e-01,2.261580e-01,2.268381e-01
2.000000e-01,2.000000e-01,2.261580e-01,2.268381e-01,2.206025e-01
2.000000e-01,2.000000e-01,2.268381e-01,2.206025e-01,2.211867e-01
2.000000e-01,2.000000e-01,2.206025e-01,2.211867e-01,2.162865e-01
2.000000e-01,2.000000e-01,2.211867e-01,2.162865e-01,2.167847e-01
2.000000e-01,2.000000e-01,2.162865e-01,2.167847e-01,2.129337e-01
2.000000e-01,2.000000e-01,2.167847e-01,2.129337e-01,2.133559e-01
2.000000e-01,2.000000e-01,2.129337e-01,2.133559e-01,2.103292e-01
2.000000e-01,2.000000e-01,2.133559e-01,2.103292e-01,2.106850e-01
2.000000e-01,2.000000e-01,2.103292e-01,2.106850e-01,2.083059e-01
2.000000e-01,2.000000e-01,2.106850e-01,2.083059e-01,2.086045e-01
2.000000e-01,2.000000e-01,2.083059e-01,2.086045e-01,2.067343e-01
2.000000e-01,2.000000e-01,2.086045e-01,2.067343e-01,2.069839e-01
2.000000e-01,2.000000e-01,2.067343e-01,2.069839e-01,2.055136e-01
2.000000e-01,2.000000e-01,2.069839e-01,2.055136e-01,2.057213e-01
2.000000e-01,2.000000e-01,2.055136e-01,2.057213e-01,2.045654e-01
2.000000e-01,2.000000e-01,2.057213e-01,2.045654e-01,2.047378e-01
2.000000e-01,2.000000e-01,2.045654e-01,2.047378e-01,2.038289e-01
2.000000e-01,2.000000e-01,2.047378e-01,2.038289e-01,2.039716e-01
2.000000e-01,2.000000e-01,2.038289e-01,2.039716e-01,2.032569e-01
2.000000e-01,2.000000e-01,2.039716e-01,2.032569e-01,2.033747e-01
2.000000e-01,2.000000e-01,2.032569e-01,2.033747e-01,2.028127e-01
2.000000e-01,2.000000e-01,2.033747e-01,2.028127e-01,2.029097e-01
2.000000e-01,2.000000e-01,2.028127e-01,2.029097e-01,2.024677e-01
2.000000e-01,2.000000e-01,2.029097e-01,2.024677e-01,2.025474e-01
2.000000e-01,2.000000e-01,2.024677e-01,2.025474e-01,2.021997e-01
2.000000e-01,2.000000e-01,2.025474e-01,2.021997e-01,2.022651e-01
2.000000e-01,2.000000e-01,2.021997e-01,2.022651e-01,2.019916e-01
2.000000e-01,2.000000e-01,2.022651e-01,2.019916e-01,2.020452e-01
2.000000e-01,2.000000e-01,2.019916e-01,2.020452e-01,2.018301e-01
2.000000e-01,2.000000e-01,2.020452e-01,2.018301e-01,2.018738e-01
2.000000e-01,2.000000e-01,2.018301e-01,2.018738e-01,2.017046e-01
2.000000e-01,2.000000e-01,2.018738e-01,2.017046e-01,2.017403e-01
2.000000e-01,2.000000e-01,2.017046e-01,2.017403e-01,2.016072e-01
2.000000e-01,2.000000e-01,2.017403e-01,2.016072e-01,2.016363e-01
2.000000e-01,2.000000e-01,2.016072e-01,2.016363e-01,2.015316e-01
2.000000e-01,2.000000e-01,2.016363e-01,2.015316e-01,2.015552e-01
2.000000e-01,2.000000e-01,2.015316e-01,2.015552e-01,2.014728e-01
2.000000e-01,2.000000e-01,2.015552e-01,2.014728e-01,2.014921e-01
2.000000e-01,2.000000e-01,2.014728e-01,2.014921e-01,2.014272e-01
2.000000e-01,2.000000e-01,2.014921e-01,2.014272e-01,2.014428e-01
2.000000e-01,2.000000e-01,2.014272e-01,2.014428e-01,2.013918e-01
2.000000e-01,2.000000e-01,2.014428e-01,2.013918e-01,2.014045e-01
2.000000e-01,2.000000e-01,2.013918e-01,2.014045e-01,2.013643e-01
2.000000e-01,2.000000e-01,2.014045e-01,2.013643e-01,2.013746e-01
2.000000e-01,2.000000e-01,2.013643e-01,2.013746e-01,2.013430e-01
2.000000e-01,2.000000e-01,2.013746e-01,2.013430e-01,2.013513e-01
2.000000e-01,2.000000e-01,2.013430e-01,2.013513e-01,2.013264e-01
2.000000e-01,2.000000e-01,2.013513e-01,2.013264e-01,2.013332e-01
2.000000e-01,2.000000e-01,2.013264e-01,2.013332e-01,2.013135e-01
2.000000e-01,2.000000e-01,2.013332e-01,2.013135e-01,2.013190e-01
2.000000e-01,2.000000e-01,2.013135e-01,2.013190e-01,2.013035e-01
2.000000e-01,2.000000e-01,2.013190e-01,2.013035e-01,2.013080e-01
2.000000e-01,2.000000e-01,2.013035e-01,2.013080e-01,2.012958e-01
2.000000e-01,2.000000e-01,2.013080e-01,2.012958e-01,2.012994e-01
2.000000e-01,2.000000e-01,2.012958e-01,2.012994e-01,2.012898e-01
2.000000e-01,2.000000e-01,2.012994e-01,2.012898e-01,2.012927e-01
2.000000e-01,2.000000e-01,2.012898e-01,2.012927e-01,2.012851e-01
2.000000e-01,2.000000e-01,2.012927e-01,2.012851e-01,2.012875e-01
2.000000e-01,2.000000e-01,2.012851e-01,2.012875e-01,2.012815e-01
2.000000e-01,2.000000e-01,2.012875e-01,2.012815e-01,2.012834e-01
2.000000e-01,2.000000e-01,2.012815e-01,2.012834e-01,2.012787e-01
2.000000e-01,2.000000e-01,2.012834e-01,2.012787e-01,2.012802e-01
2.000000e-01,2.000000e-01,2.012787e-01,2.012802e-01,2.012765e-01
