Time (sec), Heater 1 (%), Temperature 1 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.347826086956521900e-04,0.000000000000000000e+00,0.000000000000000000e+00
8.695652173913043801e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.304347826086956624e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.739130434782608760e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.173913043478260896e-03,3.750000000000000000e-01,4.411766252423023754e-02
2.608695652173913249e-03,3.750000000000000000e-01,8.304501181031574697e-02
3.043478260869565168e-03,3.750000000000000000e-01,1.173926729450970596e-01
3.478260869565217520e-03,3.750000000000000000e-01,1.476994327699041043e-01
3.913043478260869873e-03,3.750000000000000000e-01,1.744406914388514918e-01
4.347826086956521792e-03,3.750000000000000000e-01,1.980359196761580232e-01
4.782608695652173711e-03,3.750000000000000000e-01,2.188552387090755835e-01
5.217391304347826497e-03,3.750000000000000000e-01,2.372252260910616140e-01
5.652173913043478416e-03,3.750000000000000000e-01,2.534340384869316898e-01
6.086956521739130335e-03,3.750000000000000000e-01,2.677359317774052339e-01
6.521739130434782254e-03,3.750000000000000000e-01,2.803552493866466322e-01
6.956521739130435041e-03,3.750000000000000000e-01,2.914899413948007778e-01
7.391304347826086960e-03,3.750000000000000000e-01,3.013146696372897559e-01
7.826086956521739746e-03,3.750000000000000000e-01,3.099835474983094197e-01
8.260869565217390798e-03,3.750000000000000000e-01,3.176325573756796916e-01
8.695652173913043584e-03,3.750000000000000000e-01,3.243816837380652518e-01
9.130434782608696370e-03,3.750000000000000000e-01,3.303367952342877722e-01
9.565217391304347422e-03,3.750000000000000000e-01,3.355913053780135713e-01
1.000000000000000021e-02,3.750000000000000000e-01,3.402276378577716587e-01
1.043478260869565299e-02,3.750000000000000000e-01,3.443185194575581476e-01
1.086956521739130405e-02,3.750000000000000000e-01,3.479281208691344940e-01
1.130434782608695683e-02,3.750000000000000000e-01,3.511130632911135807e-01
1.173913043478260788e-02,3.750000000000000000e-01,3.539233066046245657e-01
1.217391304347826067e-02,3.750000000000000000e-01,3.564029330577224708e-01
1.260869565217391346e-02,3.750000000000000000e-01,3.585908387516323903e-01
1.304347826086956451e-02,3.750000000000000000e-01,3.605213437756705774e-01
1.347826086956521729e-02,3.750000000000000000e-01,3.622247305615866053e-01
1.391304347826087008e-02,3.750000000000000000e-01,3.637277189021007606e-01
1.434782608695652113e-02,3.750000000000000000e-01,3.650538850849073813e-01
1.478260869565217392e-02,3.750000000000000000e-01,3.662240317167955728e-01
1.521739130434782671e-02,3.750000000000000000e-01,3.672565140390498528e-01
