Time (sec), Heater 1 (%), Temperature 1 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,4.235294117647058765e-01
3.000000000000000000e+00,3.000000000000000000e+00,7.972318339100346041e-01
4.000000000000000000e+00,3.000000000000000000e+00,1.126969265214736282e+00
5.000000000000000000e+00,3.000000000000000000e+00,1.417914057542414286e+00
6.000000000000000000e+00,3.000000000000000000e+00,1.674630050772718315e+00
7.000000000000000000e+00,3.000000000000000000e+00,1.901144162446516184e+00
8.000000000000000000e+00,3.000000000000000000e+00,2.101009555099867310e+00
9.000000000000000000e+00,3.000000000000000000e+00,2.277361372146941676e+00
1.000000000000000000e+01,3.000000000000000000e+00,2.432965916600242640e+00
1.100000000000000000e+01,3.000000000000000000e+00,2.570264044059037634e+00
1.200000000000000000e+01,3.000000000000000000e+00,2.691409450640327439e+00
1.300000000000000000e+01,3.000000000000000000e+00,2.798302456447347542e+00
1.400000000000000000e+01,3.000000000000000000e+00,2.892619814512365384e+00
1.500000000000000000e+01,3.000000000000000000e+00,2.975841012805028107e+00
1.600000000000000000e+01,3.000000000000000000e+00,3.049271481886789203e+00
1.700000000000000000e+01,3.000000000000000000e+00,3.114063072253049125e+00
1.800000000000000000e+01,3.000000000000000000e+00,3.171232122576219670e+00
1.900000000000000000e+01,3.000000000000000000e+00,3.221675402273135091e+00
2.000000000000000000e+01,3.000000000000000000e+00,3.266184178476295497e+00
2.100000000000000000e+01,3.000000000000000000e+00,3.305456628067319436e+00
2.200000000000000000e+01,3.000000000000000000e+00,3.340108789471164297e+00
2.300000000000000000e+01,3.000000000000000000e+00,3.370684226003968220e+00
2.400000000000000000e+01,3.000000000000000000e+00,3.397662552356442323e+00
2.500000000000000000e+01,3.000000000000000000e+00,3.421466957961566635e+00
2.600000000000000000e+01,3.000000000000000000e+00,3.442470845260205525e+00
2.700000000000000000e+01,3.000000000000000000e+00,3.461003686994299056e+00
2.800000000000000000e+01,3.000000000000000000e+00,3.477356194406734158e+00
2.900000000000000000e+01,3.000000000000000000e+00,3.491784877417706490e+00
3.000000000000000000e+01,3.000000000000000000e+00,3.504516068309740717e+00
3.100000000000000000e+01,3.000000000000000000e+00,3.515749472038006473e+00
3.200000000000000000e+01,3.000000000000000000e+00,3.525661298857064363e+00
3.300000000000000000e+01,3.000000000000000000e+00,3.534407028403292017e+00
3.400000000000000000e+01,3.000000000000000000e+00,3.542123848591140156e+00
3.500000000000000000e+01,3.000000000000000000e+00,3.548932807580417848e+00
3.600000000000000000e+01,3.000000000000000000e+00,3.554940712570956673e+00
3.700000000000000000e+01,3.000000000000000000e+00,3.560241805209667376e+00
3.800000000000000000e+01,3.000000000000000000e+00,3.564919239890883329e+00
3.900000000000000000e+01,3.000000000000000000e+00,3.569046388139014425e+00
4.000000000000000000e+01,3.000000000000000000e+00,3.572687989534424791e+00
4.100000000000000000e+01,3.000000000000000000e+00,3.575901167236256839e+00
4.200000000000000000e+01,3.000000000000000000e+00,3.578736324031991600e+00
4.300000000000000000e+01,3.000000000000000000e+00,3.581237932969404625e+00
4.400000000000000000e+01,3.000000000000000000e+00,3.583445234973004379e+00
4.500000000000000000e+01,3.000000000000000000e+00,3.585392854387944972e+00
4.600000000000000000e+01,3.000000000000000000e+00,3.587111342107010437e+00
4.700000000000000000e+01,3.000000000000000000e+00,3.588627654800303546e+00
4.800000000000000000e+01,3.000000000000000000e+00,3.589965577764973936e+00
4.900000000000000000e+01,3.000000000000000000e+00,3.591146098027918399e+00
5.000000000000000000e+01,3.000000000000000000e+00,3.592187733554045970e+00
5.100000000000000000e+01,3.000000000000000000e+00,3.593106823724158350e+00
5.200000000000000000e+01,3.000000000000000000e+00,3.593917785638963025e+00
5.300000000000000000e+01,3.000000000000000000e+00,3.594633340269673738e+00
5.400000000000000000e+01,3.000000000000000000e+00,3.595264712002653518e+00
5.500000000000000000e+01,3.000000000000000000e+00,3.595821804708223990e+00
5.600000000000000000e+01,3.000000000000000000e+00,3.596313357095491714e+00
5.700000000000000000e+01,3.000000000000000000e+00,3.596747079790139523e+00
5.800000000000000000e+01,3.000000000000000000e+00,3.597129776285417524e+00
5.900000000000000000e+01,3.000000000000000000e+00,3.597467449663603656e+00
6.000000000000000000e+01,3.000000000000000000e+00,3.597765396762003132e+00
6.100000000000000000e+01,3.000000000000000000e+00,3.598028291260590983e+00
6.200000000000000000e+01,3.000000000000000000e+00,3.598260256994639583e+00
6.300000000000000000e+01,3.000000000000000000e+00,3.598464932642329472e+00
6.400000000000000000e+01,3.000000000000000000e+00,3.598645528802055793e+00
6.500000000000000000e+01,3.000000000000000000e+00,3.598804878354755488e+00
6.600000000000000000e+01,3.000000000000000000e+00,3.598945480901255323e+00
6.700000000000000000e+01,3.000000000000000000e+00,3.599069541971696040e+00
6.800000000000000000e+01,3.000000000000000000e+00,3.599179007622085091e+00
6.900000000000000000e+01,3.000000000000000000e+00,3.599275594960663405e+00
7.000000000000000000e+01,3.000000000000000000e+00,3.599360819082938701e+00
7.100000000000000000e+01,3.000000000000000000e+00,3.599436016837886942e+00
7.200000000000000000e+01,3.000000000000000000e+00,3.599502367798135261e+00
7.300000000000000000e+01,3.000000000000000000e+00,3.599560912763061005e+00
7.400000000000000000e+01,3.000000000000000000e+00,3.599612570085054308e+00
7.500000000000000000e+01,3.000000000000000000e+00,3.599658150075048191e+00
7.600000000000000000e+01,3.000000000000000000e+00,3.599698367713278113e+00
7.700000000000000000e+01,3.000000000000000000e+00,3.599733853864656830e+00
7.800000000000000000e+01,3.000000000000000000e+00,3.599765165174697579e+00
7.900000000000000000e+01,3.000000000000000000e+00,3.599792792801204122e+00
8.000000000000000000e+01,3.000000000000000000e+00,3.599817170118709608e+00
8.100000000000000000e+01,3.000000000000000000e+00,3.599838679516508488e+00
8.200000000000000000e+01,3.000000000000000000e+00,3.599857658396919291e+00
8.300000000000000000e+01,3.000000000000000000e+00,3.599874404467870104e+00
8.400000000000000000e+01,3.000000000000000000e+00,3.599889180412826573e+00
8.500000000000000000e+01,3.000000000000000000e+00,3.599902218011317601e+00
8.600000000000000000e+01,3.000000000000000000e+00,3.599913721774692377e+00
8.700000000000000000e+01,3.000000000000000000e+00,3.599923872154140447e+00
8.800000000000000000e+01,3.000000000000000000e+00,3.599932828371300797e+00
8.900000000000000000e+01,3.000000000000000000e+00,3.599940730915853315e+00
9.000000000000000000e+01,3.000000000000000000e+00,3.599947703749282635e+00
9.100000000000000000e+01,3.000000000000000000e+00,3.599953856249366702e+00
9.200000000000000000e+01,3.000000000000000000e+00,3.599959284925911884e+00
9.300000000000000000e+01,3.000000000000000000e+00,3.599964074934628222e+00
9.400000000000000000e+01,3.000000000000000000e+00,3.599968301412907579e+00
9.500000000000000000e+01,3.000000000000000000e+00,3.599972030658447952e+00
9.600000000000000000e+01,3.000000000000000000e+00,3.599975321169218478e+00
9.700000000000000000e+01,3.000000000000000000e+00,3.599978224561075191e+00
9.800000000000000000e+01,3.000000000000000000e+00,3.599980786377419140e+00
9.900000000000000000e+01,3.000000000000000000e+00,3.599983046803604925e+00
1.000000000000000000e+02,1.000000000000000000e+00,3.317632100120827765e+00
1.010000000000000000e+02,1.000000000000000000e+00,3.068498911871318846e+00
1.020000000000000000e+02,1.000000000000000000e+00,2.848675510474693251e+00
1.030000000000000000e+02,1.000000000000000000e+00,2.654713685712964732e+00
1.040000000000000000e+02,1.000000000000000000e+00,2.483570899158498158e+00
1.050000000000000000e+02,1.000000000000000000e+00,2.332562558081027859e+00
1.060000000000000000e+02,1.000000000000000000e+00,2.199319904189142250e+00
1.070000000000000000e+02,1.000000000000000000e+00,2.081752856637478555e+00
1.080000000000000000e+02,1.000000000000000000e+00,1.978017226444834131e+00
1.090000000000000000e+02,1.000000000000000000e+00,1.886485788039559353e+00
1.100000000000000000e+02,1.000000000000000000e+00,1.805722754152552456e+00
1.110000000000000000e+02,1.000000000000000000e+00,1.734461253664016711e+00
1.120000000000000000e+02,1.000000000000000000e+00,1.671583459115308701e+00
1.130000000000000000e+02,1.000000000000000000e+00,1.616103052160566378e+00
1.140000000000000000e+02,1.000000000000000000e+00,1.567149751906381949e+00
1.150000000000000000e+02,1.000000000000000000e+00,1.523955663446807440e+00
1.160000000000000000e+02,1.000000000000000000e+00,1.485843232453065266e+00
1.170000000000000000e+02,1.000000000000000000e+00,1.452214616870351582e+00
1.180000000000000000e+02,1.000000000000000000e+00,1.422542309003251182e+00
1.190000000000000000e+02,1.000000000000000000e+00,1.396360860885221600e+00
1.200000000000000000e+02,1.000000000000000000e+00,1.373259583134018857e+00
1.210000000000000000e+02,1.000000000000000000e+00,1.352876102765310673e+00
1.220000000000000000e+02,1.000000000000000000e+00,1.334890678910568118e+00
1.230000000000000000e+02,1.000000000000000000e+00,1.319021187274030504e+00
1.240000000000000000e+02,1.000000000000000000e+00,1.305018694653556244e+00
1.250000000000000000e+02,1.000000000000000000e+00,1.292663554106078916e+00
1.260000000000000000e+02,1.000000000000000000e+00,1.281761959505363535e+00
1.270000000000000000e+02,1.000000000000000000e+00,1.272142905445908800e+00
1.280000000000000000e+02,1.000000000000000000e+00,1.263655504805213603e+00
1.290000000000000000e+02,1.000000000000000000e+00,1.256166621886953161e+00
1.300000000000000000e+02,1.000000000000000000e+00,1.249558784017899660e+00
1.310000000000000000e+02,1.000000000000000000e+00,1.243728338839323211e+00
1.320000000000000000e+02,1.000000000000000000e+00,1.238583828387638031e+00
1.330000000000000000e+02,1.000000000000000000e+00,1.234044554459680532e+00
1.340000000000000000e+02,1.000000000000000000e+00,1.230039312758541614e+00
1.350000000000000000e+02,1.000000000000000000e+00,1.226505275963418962e+00
1.360000000000000000e+02,1.000000000000000000e+00,1.223387008203016713e+00
1.370000000000000000e+02,1.000000000000000000e+00,1.220635595473249957e+00
1.380000000000000000e+02,1.000000000000000000e+00,1.218207878358749774e+00
1.390000000000000000e+02,1.000000000000000000e+00,1.216065775022426187e+00
1.400000000000000000e+02,1.000000000000000000e+00,1.214175683843317088e+00
1.410000000000000000e+02,1.000000000000000000e+00,1.212507956332338432e+00
1.420000000000000000e+02,1.000000000000000000e+00,1.211036432057945644e+00
1.430000000000000000e+02,1.000000000000000000e+00,1.209738028286422518e+00
1.440000000000000000e+02,1.000000000000000000e+00,1.208592377899784465e+00
1.450000000000000000e+02,1.000000000000000000e+00,1.207581509911574313e+00
1.460000000000000000e+02,1.000000000000000000e+00,1.206689567569036114e+00
1.470000000000000000e+02,1.000000000000000000e+00,1.205902559619737691e+00
1.480000000000000000e+02,1.000000000000000000e+00,1.205208140840944964e+00
1.490000000000000000e+02,1.000000000000000000e+00,1.204595418389069028e+00
1.500000000000000000e+02,1.000000000000000000e+00,1.204054780931531399e+00
1.510000000000000000e+02,1.000000000000000000e+00,1.203577747880762994e+00
1.520000000000000000e+02,1.000000000000000000e+00,1.203156836365379068e+00
1.530000000000000000e+02,1.000000000000000000e+00,1.202785443851804859e+00
1.540000000000000000e+02,1.000000000000000000e+00,1.202457744575121890e+00
1.550000000000000000e+02,1.000000000000000000e+00,1.202168598154519152e+00
1.560000000000000000e+02,1.000000000000000000e+00,1.201913468959869835e+00
1.570000000000000000e+02,1.000000000000000000e+00,1.201688354964590921e+00
1.580000000000000000e+02,1.000000000000000000e+00,1.201489724968756612e+00
1.590000000000000000e+02,1.000000000000000000e+00,1.201314463207726391e+00
1.600000000000000000e+02,1.000000000000000000e+00,1.201159820477405438e+00
1.610000000000000000e+02,1.000000000000000000e+00,1.201023371009475316e+00
1.620000000000000000e+02,1.000000000000000000e+00,1.200902974420125169e+00
1.630000000000000000e+02,1.000000000000000000e+00,1.200796742135404438e+00
1.640000000000000000e+02,1.000000000000000000e+00,1.200703007766533270e+00
1.650000000000000000e+02,1.000000000000000000e+00,1.200620300970470344e+00
1.660000000000000000e+02,1.000000000000000000e+00,1.200547324385708992e+00
1.670000000000000000e+02,1.000000000000000000e+00,1.200482933281507902e+00
1.680000000000000000e+02,1.000000000000000000e+00,1.200426117601330445e+00
1.690000000000000000e+02,1.000000000000000000e+00,1.200375986118820792e+00
1.700000000000000000e+02,1.000000000000000000e+00,1.200331752457783008e+00
1.710000000000000000e+02,1.000000000000000000e+00,1.200292722756867159e+00
1.720000000000000000e+02,1.000000000000000000e+00,1.200258284785470808e+00
1.730000000000000000e+02,1.000000000000000000e+00,1.200227898340121113e+00
1.740000000000000000e+02,1.000000000000000000e+00,1.200201086770694925e+00
1.750000000000000000e+02,1.000000000000000000e+00,1.200177429503554327e+00
1.760000000000000000e+02,1.000000000000000000e+00,1.200156555444312545e+00
1.770000000000000000e+02,1.000000000000000000e+00,1.200138137156746332e+00
1.780000000000000000e+02,1.000000000000000000e+00,1.200121885726540771e+00
1.790000000000000000e+02,1.000000000000000000e+00,1.200107546229300493e+00
1.800000000000000000e+02,1.000000000000000000e+00,1.200094893731735723e+00
1.810000000000000000e+02,1.000000000000000000e+00,1.200083729763296025e+00
1.820000000000000000e+02,1.000000000000000000e+00,1.200073879202908200e+00
1.830000000000000000e+02,1.000000000000000000e+00,1.200065187531977662e+00
1.840000000000000000e+02,1.000000000000000000e+00,1.200057518410568402e+00
1.850000000000000000e+02,1.000000000000000000e+00,1.200050751538736638e+00
1.860000000000000000e+02,1.000000000000000000e+00,1.200044780769473407e+00
1.870000000000000000e+02,1.000000000000000000e+00,1.200039512443652923e+00
1.880000000000000000e+02,1.000000000000000000e+00,1.200034863920870221e+00
1.890000000000000000e+02,1.000000000000000000e+00,1.200030762283120778e+00
