Time (sec), Heater 1 (%), Temperature 1 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,6.190476190476190688e-02
6.000000000000000000e+00,1.000000000000000000e+00,1.208616780045351502e-01
7.000000000000000000e+00,1.000000000000000000e+00,1.770111219090810817e-01
8.000000000000000000e+00,1.000000000000000000e+00,2.304867827705534000e-01
9.000000000000000000e+00,1.000000000000000000e+00,2.814159835910032270e-01
1.000000000000000000e+01,1.000000000000000000e+00,3.299199843723840120e-01
1.100000000000000000e+01,1.000000000000000000e+00,3.761142708308419236e-01
1.200000000000000000e+01,1.000000000000000000e+00,4.201088293627065484e-01
1.300000000000000000e+01,1.000000000000000000e+00,4.620084089168633446e-01
1.400000000000000000e+01,1.000000000000000000e+00,5.019127703970127641e-01
1.500000000000000000e+01,1.000000000000000000e+00,5.399169241876311531e-01
1.600000000000000000e+01,1.000000000000000000e+00,5.761113563691724337e-01
1.700000000000000000e+01,1.000000000000000000e+00,6.105822441611165052e-01
1.800000000000000000e+01,1.000000000000000000e+00,6.434116611058252611e-01
1.900000000000000000e+01,1.000000000000000000e+00,6.746777724817383248e-01
2.000000000000000000e+01,1.000000000000000000e+00,7.044550214111792164e-01
2.100000000000000000e+01,1.000000000000000000e+00,7.328143061058849383e-01
2.200000000000000000e+01,1.000000000000000000e+00,7.598231486722712980e-01
2.300000000000000000e+01,1.000000000000000000e+00,7.855458558783535716e-01
2.400000000000000000e+01,1.000000000000000000e+00,8.100436722650986576e-01
2.500000000000000000e+01,1.000000000000000000e+00,8.333749259667606601e-01
2.600000000000000000e+01,1.000000000000000000e+00,8.555951675873909590e-01
2.700000000000000000e+01,1.000000000000000000e+00,8.767573024641818202e-01
2.800000000000000000e+01,1.000000000000000000e+00,8.969117166325540902e-01
2.900000000000000000e+01,1.000000000000000000e+00,9.161063967929086171e-01
3.000000000000000000e+01,1.000000000000000000e+00,9.343870445646748069e-01
3.100000000000000000e+01,1.000000000000000000e+00,9.517971852996902626e-01
3.200000000000000000e+01,1.000000000000000000e+00,9.683782717139906016e-01
3.300000000000000000e+01,1.000000000000000000e+00,9.841697825847528502e-01
3.400000000000000000e+01,1.000000000000000000e+00,9.992093167473835580e-01
3.500000000000000000e+01,1.000000000000000000e+00,1.013532682616555824e+00
3.600000000000000000e+01,1.000000000000000000e+00,1.027173983444338745e+00
3.700000000000000000e+01,1.000000000000000000e+00,1.040165698518417781e+00
3.800000000000000000e+01,1.000000000000000000e+00,1.052538760493731074e+00
3.900000000000000000e+01,1.000000000000000000e+00,1.064322629041648538e+00
4.000000000000000000e+01,1.000000000000000000e+00,1.075545360992046007e+00
4.100000000000000000e+01,1.000000000000000000e+00,1.086233677135281850e+00
4.200000000000000000e+01,1.000000000000000000e+00,1.096413025843125499e+00
4.300000000000000000e+01,1.000000000000000000e+00,1.106107643660119377e+00
4.400000000000000000e+01,1.000000000000000000e+00,1.115340613009637494e+00
4.500000000000000000e+01,1.000000000000000000e+00,1.124133917152035700e+00
4.600000000000000000e+01,1.000000000000000000e+00,1.132508492525748256e+00
4.700000000000000000e+01,1.000000000000000000e+00,1.140484278595950585e+00
4.800000000000000000e+01,1.000000000000000000e+00,1.148080265329476601e+00
4.900000000000000000e+01,1.000000000000000000e+00,1.155314538409025316e+00
5.000000000000000000e+01,1.000000000000000000e+00,1.162204322294309700e+00
5.100000000000000000e+01,1.000000000000000000e+00,1.168766021232675811e+00
5.200000000000000000e+01,1.000000000000000000e+00,1.175015258316834066e+00
5.300000000000000000e+01,1.000000000000000000e+00,1.180966912682698933e+00
5.400000000000000000e+01,1.000000000000000000e+00,1.186635154935903547e+00
5.500000000000000000e+01,1.000000000000000000e+00,1.192033480891336650e+00
5.600000000000000000e+01,1.000000000000000000e+00,1.197174743706034716e+00
5.700000000000000000e+01,1.000000000000000000e+00,1.202071184481937616e+00
5.800000000000000000e+01,1.000000000000000000e+00,1.206734461411369086e+00
5.900000000000000000e+01,1.000000000000000000e+00,1.211175677534637174e+00
6.000000000000000000e+01,1.000000000000000000e+00,1.215405407175844887e+00
6.100000000000000000e+01,1.000000000000000000e+00,1.219433721119852265e+00
6.200000000000000000e+01,1.000000000000000000e+00,1.223270210590335472e+00
6.300000000000000000e+01,1.000000000000000000e+00,1.226924010086033690e+00
6.400000000000000000e+01,1.000000000000000000e+00,1.230403819129555876e+00
6.500000000000000000e+01,1.000000000000000000e+00,1.233717922980529291e+00
6.600000000000000000e+01,1.000000000000000000e+00,1.236874212362408798e+00
6.700000000000000000e+01,1.000000000000000000e+00,1.239880202249912911e+00
6.800000000000000000e+01,1.000000000000000000e+00,1.242743049761821705e+00
6.900000000000000000e+01,1.000000000000000000e+00,1.245469571201734738e+00
7.000000000000000000e+01,1.000000000000000000e+00,1.248066258287366281e+00
7.100000000000000000e+01,1.000000000000000000e+00,1.250539293607015434e+00
7.200000000000000000e+01,1.000000000000000000e+00,1.252894565340014532e+00
7.300000000000000000e+01,1.000000000000000000e+00,1.255137681276204287e+00
7.400000000000000000e+01,1.000000000000000000e+00,1.257273982167813386e+00
7.500000000000000000e+01,1.000000000000000000e+00,1.259308554445536465e+00
7.600000000000000000e+01,1.000000000000000000e+00,1.261246242329082223e+00
7.700000000000000000e+01,1.000000000000000000e+00,1.263091659361030628e+00
7.800000000000000000e+01,1.000000000000000000e+00,1.264849199391457679e+00
7.900000000000000000e+01,1.000000000000000000e+00,1.266523047039483485e+00
8.000000000000000000e+01,1.000000000000000000e+00,1.268117187656650824e+00
8.100000000000000000e+01,1.000000000000000000e+00,1.269635416815857898e+00
8.200000000000000000e+01,1.000000000000000000e+00,1.271081349348435863e+00
8.300000000000000000e+01,1.000000000000000000e+00,1.272458427950891258e+00
8.400000000000000000e+01,1.000000000000000000e+00,1.273769931381801168e+00
8.500000000000000000e+01,1.000000000000000000e+00,1.275018982268381951e+00
8.600000000000000000e+01,1.000000000000000000e+00,1.276208554541315987e+00
8.700000000000000000e+01,1.000000000000000000e+00,1.277341480515538974e+00
8.800000000000000000e+01,1.000000000000000000e+00,1.278420457633846485e+00
8.900000000000000000e+01,1.000000000000000000e+00,1.279448054889377406e+00
9.000000000000000000e+01,1.000000000000000000e+00,1.280426718942264008e+00
9.100000000000000000e+01,1.000000000000000000e+00,1.281358779945013238e+00
9.200000000000000000e+01,1.000000000000000000e+00,1.282246457090488567e+00
9.300000000000000000e+01,1.000000000000000000e+00,1.283091863895703177e+00
9.400000000000000000e+01,1.000000000000000000e+00,1.283897013234002848e+00
9.500000000000000000e+01,1.000000000000000000e+00,1.284663822127621646e+00
9.600000000000000000e+01,1.000000000000000000e+00,1.285394116312020385e+00
9.700000000000000000e+01,1.000000000000000000e+00,1.286089634582876506e+00
9.800000000000000000e+01,1.000000000000000000e+00,1.286752032936072654e+00
9.900000000000000000e+01,1.000000000000000000e+00,1.287382888510545165e+00
1.000000000000000000e+02,2.000000000000000000e+00,1.349888465248137992e+00
1.010000000000000000e+02,2.000000000000000000e+00,1.409417585950607732e+00
1.020000000000000000e+02,2.000000000000000000e+00,1.466111986619626384e+00
1.030000000000000000e+02,2.000000000000000000e+00,1.520106653923453788e+00
1.040000000000000000e+02,2.000000000000000000e+00,1.571530146593765220e+00
1.050000000000000000e+02,2.000000000000000000e+00,1.620504901517871410e+00
1.060000000000000000e+02,2.000000000000000000e+00,1.667147525255115337e+00
1.070000000000000000e+02,2.000000000000000000e+00,1.711569071671538156e+00
1.080000000000000000e+02,2.000000000000000000e+00,1.753875306353845920e+00
1.090000000000000000e+02,2.000000000000000000e+00,1.794166958432234171e+00
1.100000000000000000e+02,2.000000000000000000e+00,1.832539960411651458e+00
1.110000000000000000e+02,2.000000000000000000e+00,1.869085676582525224e+00
1.120000000000000000e+02,2.000000000000000000e+00,1.903891120554785710e+00
1.130000000000000000e+02,2.000000000000000000e+00,1.937039162433129347e+00
1.140000000000000000e+02,2.000000000000000000e+00,1.968608726126789943e+00
1.150000000000000000e+02,2.000000000000000000e+00,1.998674977263609209e+00
1.160000000000000000e+02,2.000000000000000000e+00,2.027309502155818510e+00
1.170000000000000000e+02,2.000000000000000000e+00,2.054580478243636321e+00
1.180000000000000000e+02,2.000000000000000000e+00,2.080552836422510765e+00
1.190000000000000000e+02,2.000000000000000000e+00,2.105288415640486299e+00
1.200000000000000000e+02,2.000000000000000000e+00,2.128846110133796099e+00
1.210000000000000000e+02,2.000000000000000000e+00,2.151282009651234173e+00
1.220000000000000000e+02,2.000000000000000000e+00,2.172649533001175026e+00
1.230000000000000000e+02,2.000000000000000000e+00,2.192999555239214082e+00
1.240000000000000000e+02,2.000000000000000000e+00,2.212380528799251067e+00
1.250000000000000000e+02,2.000000000000000000e+00,2.230838598856429211e+00
1.260000000000000000e+02,2.000000000000000000e+00,2.248417713196598999e+00
1.270000000000000000e+02,2.000000000000000000e+00,2.265159726853903432e+00
1.280000000000000000e+02,2.000000000000000000e+00,2.281104501765621961e+00
1.290000000000000000e+02,2.000000000000000000e+00,2.296290001681544624e+00
1.300000000000000000e+02,2.000000000000000000e+00,2.310752382553851625e+00
1.310000000000000000e+02,2.000000000000000000e+00,2.324526078622715541e+00
1.320000000000000000e+02,2.000000000000000000e+00,2.337643884402586192e+00
1.330000000000000000e+02,2.000000000000000000e+00,2.350137032764367362e+00
1.340000000000000000e+02,2.000000000000000000e+00,2.362035269299397111e+00
1.350000000000000000e+02,2.000000000000000000e+00,2.373366923142282925e+00
1.360000000000000000e+02,2.000000000000000000e+00,2.384158974421221711e+00
1.370000000000000000e+02,2.000000000000000000e+00,2.394437118496401506e+00
1.380000000000000000e+02,2.000000000000000000e+00,2.404225827139429672e+00
1.390000000000000000e+02,2.000000000000000000e+00,2.413548406799456814e+00
1.400000000000000000e+02,2.000000000000000000e+00,2.422427054094720589e+00
1.410000000000000000e+02,2.000000000000000000e+00,2.430882908661638364e+00
1.420000000000000000e+02,2.000000000000000000e+00,2.438936103487274298e+00
1.430000000000000000e+02,2.000000000000000000e+00,2.446605812845022765e+00
1.440000000000000000e+02,2.000000000000000000e+00,2.453910297947640373e+00
1.450000000000000000e+02,2.000000000000000000e+00,2.460866950426324085e+00
1.460000000000000000e+02,2.000000000000000000e+00,2.467492333739356170e+00
1.470000000000000000e+02,2.000000000000000000e+00,2.473802222608910473e+00
1.480000000000000000e+02,2.000000000000000000e+00,2.479811640579914656e+00
1.490000000000000000e+02,2.000000000000000000e+00,2.485534895790394661e+00
1.500000000000000000e+02,2.000000000000000000e+00,2.490985615038471046e+00
1.510000000000000000e+02,2.000000000000000000e+00,2.496176776227115202e+00
1.520000000000000000e+02,2.000000000000000000e+00,2.501120739263919202e+00
1.530000000000000000e+02,2.000000000000000000e+00,2.505829275489446673e+00
1.540000000000000000e+02,2.000000000000000000e+00,2.510313595704234846e+00
1.550000000000000000e+02,2.000000000000000000e+00,2.514584376861175752e+00
1.560000000000000000e+02,2.000000000000000000e+00,2.518651787486833715e+00
1.570000000000000000e+02,2.000000000000000000e+00,2.522525511892222294e+00
1.580000000000000000e+02,2.000000000000000000e+00,2.526214773230687438e+00
1.590000000000000000e+02,2.000000000000000000e+00,2.529728355457797395e+00
1.600000000000000000e+02,2.000000000000000000e+00,2.533074624245521100e+00
1.610000000000000000e+02,2.000000000000000000e+00,2.536261546900496100e+00
1.620000000000000000e+02,2.000000000000000000e+00,2.539296711333805412e+00
1.630000000000000000e+02,2.000000000000000000e+00,2.542187344127433413e+00
1.640000000000000000e+02,2.000000000000000000e+00,2.544940327740412567e+00
1.650000000000000000e+02,2.000000000000000000e+00,2.547562216895630893e+00
1.660000000000000000e+02,2.000000000000000000e+00,2.550059254186314739e+00
1.670000000000000000e+02,2.000000000000000000e+00,2.552437384939346909e+00
1.680000000000000000e+02,2.000000000000000000e+00,2.554702271370806521e+00
1.690000000000000000e+02,2.000000000000000000e+00,2.556859306067434723e+00
1.700000000000000000e+02,2.000000000000000000e+00,2.558913624826128164e+00
1.710000000000000000e+02,2.000000000000000000e+00,2.560870118882026425e+00
1.720000000000000000e+02,2.000000000000000000e+00,2.562733446554310568e+00
1.730000000000000000e+02,2.000000000000000000e+00,2.564508044337438175e+00
1.740000000000000000e+02,2.000000000000000000e+00,2.566198137464226647e+00
1.750000000000000000e+02,2.000000000000000000e+00,2.567807749965929975e+00
1.760000000000000000e+02,2.000000000000000000e+00,2.569340714253266267e+00
1.770000000000000000e+02,2.000000000000000000e+00,2.570800680241205782e+00
1.780000000000000000e+02,2.000000000000000000e+00,2.572191124039243437e+00
1.790000000000000000e+02,2.000000000000000000e+00,2.573515356227850770e+00
1.800000000000000000e+02,2.000000000000000000e+00,2.574776529740809838e+00
1.810000000000000000e+02,2.000000000000000000e+00,2.575977647372199808e+00
1.820000000000000000e+02,2.000000000000000000e+00,2.577121568925904160e+00
1.830000000000000000e+02,2.000000000000000000e+00,2.578211018024670231e+00
1.840000000000000000e+02,2.000000000000000000e+00,2.579248588594923675e+00
1.850000000000000000e+02,2.000000000000000000e+00,2.580236751042784160e+00
1.860000000000000000e+02,2.000000000000000000e+00,2.581177858135984771e+00
1.870000000000000000e+02,2.000000000000000000e+00,2.582074150605699447e+00
1.880000000000000000e+02,2.000000000000000000e+00,2.582927762481618483e+00
1.890000000000000000e+02,2.000000000000000000e+00,2.583740726172969904e+00
