Time (sec), Heater 1 (%), Temperature 1 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.347826086956521900e-04,0.000000000000000000e+00,0.000000000000000000e+00
8.695652173913043801e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.304347826086956624e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.739130434782608760e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.173913043478260896e-03,2.000000000000000111e-01,9.530807650658638594e-03
2.608695652173913249e-03,2.000000000000000111e-01,1.860776731795257821e-02
3.043478260869565168e-03,2.000000000000000111e-01,2.725249081061347292e-02
3.478260869565217520e-03,2.000000000000000111e-01,3.548556080362384735e-02
3.913043478260869873e-03,2.000000000000000111e-01,4.332657984458611333e-02
4.347826086956521792e-03,2.000000000000000111e-01,5.079421702645493114e-02
4.782608695652173711e-03,2.000000000000000111e-01,5.790625243775857772e-02
5.217391304347826497e-03,2.000000000000000111e-01,6.467961949614299544e-02
5.652173913043478416e-03,2.000000000000000111e-01,7.113044526603290452e-02
6.086956521739130335e-03,2.000000000000000111e-01,7.727408885640427161e-02
6.521739130434782254e-03,2.000000000000000111e-01,8.312517799009126740e-02
6.956521739130435041e-03,2.000000000000000111e-01,8.869764383169792543e-02
7.391304347826086960e-03,2.000000000000000111e-01,9.400475415703760107e-02
7.826086956521739746e-03,2.000000000000000111e-01,9.905914494307541118e-02
8.260869565217390798e-03,2.000000000000000111e-01,1.038728504535875868e-01
8.695652173913043584e-03,2.000000000000000111e-01,1.084573318921706053e-01
9.130434782608696370e-03,2.000000000000000111e-01,1.128235046908211137e-01
9.565217391304347422e-03,2.000000000000000111e-01,1.169817644990596983e-01
1.000000000000000021e-02,2.000000000000000111e-01,1.209420119354773920e-01
1.043478260869565299e-02,2.000000000000000111e-01,1.247136761606371103e-01
1.086956521739130405e-02,2.000000000000000111e-01,1.283057373274558988e-01
1.130434782608695683e-02,2.000000000000000111e-01,1.317267479625213733e-01
1.173913043478260788e-02,2.000000000000000111e-01,1.349848533292503927e-01
1.217391304347826067e-02,2.000000000000000111e-01,1.380878108213733080e-01
1.260869565217391346e-02,2.000000000000000111e-01,1.410430084329189204e-01
1.304347826086956451e-02,2.000000000000000111e-01,1.438574823486766519e-01
1.347826086956521729e-02,2.000000000000000111e-01,1.465379336970173418e-01
1.391304347826087008e-02,2.000000000000000111e-01,1.490907445049608482e-01
1.434782608695652113e-02,2.000000000000000111e-01,1.515219928934784799e-01
1.478260869565217392e-02,2.000000000000000111e-01,1.538374675492095722e-01
1.521739130434782671e-02,2.000000000000000111e-01,1.560426815070486972e-01
