Time (sec), Heater 1 (%), Temperature 1 (degC)
0.000000000000000000e+00,1.097627008000000082e+01,0.000000000000000000e+00
1.001000999999999974e-02,1.097627008000000082e+01,1.028281999999999937e-03
2.002001999999999948e-02,1.097627008000000082e+01,3.841497000000000141e-03
3.003002999999999922e-02,1.097627008000000082e+01,8.064764000000000307e-03
4.004003999999999897e-02,1.097627008000000082e+01,1.336568500000000041e-02
5.005004999999999871e-02,1.097627008000000082e+01,1.945263599999999884e-02
6.006005999999999845e-02,1.097627008000000082e+01,2.607264100000000057e-02
7.007006999999999819e-02,1.097627008000000082e+01,3.300895799999999797e-02
8.008007999999999793e-02,1.097627008000000082e+01,4.007843600000000200e-02
9.009008999999999767e-02,1.097627008000000082e+01,4.712873299999999904e-02
1.001000999999999974e-01,1.097627008000000082e+01,5.403550099999999967e-02
1.101101099999999972e-01,1.097627008000000082e+01,6.069955300000000331e-02
1.201201199999999969e-01,1.097627008000000082e+01,6.704409899999999589e-02
1.301301300000000105e-01,1.097627008000000082e+01,7.301207199999999731e-02
1.401401399999999964e-01,1.097627008000000082e+01,7.856359100000000206e-02
1.501501500000000100e-01,1.097627008000000082e+01,8.367355499999999668e-02
1.601601599999999959e-01,1.097627008000000082e+01,8.832943099999999992e-02
1.701701700000000095e-01,1.097627008000000082e+01,9.252918599999999938e-02
1.801801799999999953e-01,1.097627008000000082e+01,9.627943099999999865e-02
1.901901900000000090e-01,1.097627008000000082e+01,9.959372499999999406e-02
2.002001999999999948e-01,1.097627008000000082e+01,1.024910720000000025e-01
2.102102100000000084e-01,1.097627008000000082e+01,1.049945870000000003e-01
2.202202199999999943e-01,1.097627008000000082e+01,1.071303339999999937e-01
2.302302300000000079e-01,1.097627008000000082e+01,1.089263139999999963e-01
2.402402399999999938e-01,1.097627008000000082e+01,1.104116089999999939e-01
2.502502500000000074e-01,1.097627008000000082e+01,1.116156559999999937e-01
2.602602600000000210e-01,1.097627008000000082e+01,1.125676530000000036e-01
2.702702699999999791e-01,1.097627008000000082e+01,1.132960689999999992e-01
2.802802799999999928e-01,1.097627008000000082e+01,1.138282600000000006e-01
2.902902900000000064e-01,1.097627008000000082e+01,1.141901810000000017e-01
3.003003000000000200e-01,1.097627008000000082e+01,1.144061620000000057e-01
3.103103099999999781e-01,1.097627008000000082e+01,1.144987660000000018e-01
3.203203199999999917e-01,1.097627008000000082e+01,1.144886979999999999e-01
3.303303300000000053e-01,1.097627008000000082e+01,1.143947689999999934e-01
